"Group.1" "Group.2" "CXQ_T_tpm" "GY_T_tpm" "HCM_T_tpm" "LGL_T_tpm" "MYP_T_tpm" "SMJ_T_tpm" "XB_T_tpm" "CXQ_N_tpm" "GY_N_tpm" "HCM_N_tpm" "LGL_N_tpm" "MYP_N_tpm" "SMJ_N_tpm" "XB_N_tpm"
"19477" "MIR99AHG" "MIR99AHG" 3.05 3.15 8.02 1.61 2.48 2 2.31 2.33 2.04 2.49 1.17 3.43 1.59 0.64
"19478" "MIR99B" "MIR99B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19479" "MIRLET7A1" "MIRLET7A1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19480" "MIRLET7A1HG" "MIRLET7A1HG" 18.74 8.63 16.77 5.2 13.33 15.69 7.8 11.71 7.97 11.71 5.83 10.01 14.39 10.54
"19481" "MIRLET7A2" "MIRLET7A2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19482" "MIRLET7A3" "MIRLET7A3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19483" "MIRLET7B" "MIRLET7B" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19484" "MIRLET7BHG" "MIRLET7BHG" 0.36 0.59 0.38 0.51 0.57 0.49 0.34 0.07 0.13 0.12 0.35 0.13 0.55 0.7
"19485" "MIRLET7C" "MIRLET7C" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19486" "MIRLET7D" "MIRLET7D" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19487" "MIRLET7E" "MIRLET7E" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19488" "MIRLET7F1" "MIRLET7F1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19489" "MIRLET7F2" "MIRLET7F2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19490" "MIRLET7G" "MIRLET7G" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19491" "MIRLET7I" "MIRLET7I" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19492" "MIRLET7IHG" "MIRLET7IHG" 0.41 0.29 0.61 0.18 0.67 0.52 0.23 0.25 0.45 0.58 0.47 0.43 0.45 0.16
"19493" "MIS12" "MIS12" 10.25 10.41 16.74 12.92 9.99 14.89 8.59 9.18 7.84 7.17 8.7 12.13 10.92 7.16
"19494" "MIS18A" "MIS18A" 11.69 9.25 6.67 8.69 7.97 6.98 10.14 5.13 4.42 3.16 4.27 4.97 3.95 3.98
"19495" "MIS18A-AS1" "MIS18A-AS1" 0.24 0.12 0 0.12 0 0 0.21 0.3 0 0 0 0 0 0
"19496" "MIS18BP1" "MIS18BP1" 15.64 8.13 13.18 12.42 17.27 16.71 8.34 8.05 8.53 8.2 7.54 18.37 7.4 2.63
"19497" "MISP" "MISP" 48.44 62.5 40 78.15 29.8 57.12 128.35 81.56 59.55 120.9 97.96 65.61 88.73 94.98
"19498" "MISP3" "MISP3" 11.66 9.16 7.07 18.03 2.18 3.06 22.26 9.28 4.6 5.36 5.11 5.51 6.69 7.85
"19499" "MITD1" "MITD1" 31.78 27.58 40.64 18.51 53.73 40.16 23.19 19.67 24.04 19.49 13.51 26.25 23.43 15.63
"19500" "MITF" "MITF" 1.26 3.63 6.37 1.49 3.13 4.66 2.78 1.65 3.65 1.69 1.53 4.41 1.37 0.93
"19501" "MIX23" "MIX23" 55.19 35.12 62.16 50.69 41.73 101.3 53.48 44.87 33.24 20.81 40.61 37.77 34.02 25.25
"19502" "MIX23P1" "MIX23P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19503" "MIX23P2" "MIX23P2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19504" "MIX23P3" "MIX23P3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19505" "MIX23P5" "MIX23P5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19506" "MIXL1" "MIXL1" 0.07 0.45 0.12 0.23 0.04 2.96 0.96 0.18 0.52 0.52 1.02 1.4 1.12 1.06
"19507" "MKI67" "MKI67" 38.03 14.82 16.1 35.22 29.56 34.57 29.01 6.02 6.01 3.7 10.4 13.19 11.65 3.8
"19508" "MKI67P1" "MKI67P1" 0 0 0 0 0 0.05 0 0 0.14 0 0 0 0 0
"19509" "MKKS" "MKKS" 73.8566666666667 58.1133333333333 37.7566666666667 80.6 46.2733333333333 55.1733333333333 41.4633333333333 47.2866666666667 31.3366666666667 31.28 36.18 13.1566666666667 28.1833333333333 23.6233333333333
"19510" "MKLN1" "MKLN1" 19.88 8.88 12.76 10.43 14.26 11.76 6 5.63 7.59 4.3 6.11 8.37 6.86 6.78
"19511" "MKLN1-AS" "MKLN1-AS" 6.16 3.37 4.23 3.53 3.58 3.25 1.76 2.68 2.74 2.39 2.89 2.16 2.35 2.29
"19512" "MKNK1" "MKNK1" 16.63 18.67 24.91 18.31 42.76 18.04 17.99 25.43 22.8 27.81 21.02 28.48 23.14 11.95
"19513" "MKNK1-AS1" "MKNK1-AS1" 0.08 0 0.07 0.18 0.96 0.22 0.02 0.21 0.12 0.13 0.39 0.17 0.27 0
"19514" "MKNK2" "MKNK2" 29.21 26.7 28.52 39.16 26.15 19.73 58.2 29.86 21.54 32.79 31.22 30.05 24.45 17.97
"19515" "MKNK2P1" "MKNK2P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19516" "MKRN1" "MKRN1" 100.24 68.95 93.8 102.06 65.49 61.84 56.67 92.79 86.29 111.88 87.41 76.88 94.85 48.17
"19517" "MKRN2" "MKRN2" 21.66 11.69 18.8 14.35 13.73 15.37 10.15 7.93 11.24 8.19 9.59 13.05 8.67 4.11
"19518" "MKRN2OS" "MKRN2OS" 1.93 2.29 2.2 4.38 1.57 2.5 1.61 6.59 7.01 8.45 5.05 3.97 5.91 4.87
"19519" "MKRN3" "MKRN3" 0 2.89 4.81 0 0.74 0 0.06 0.43 0.18 0.11 0 0.23 0 0
"19520" "MKRN4P" "MKRN4P" 0.05 0 0.05 0 0 0 0 0 0 0 0 0 0 0
"19521" "MKRN5P" "MKRN5P" 0.15 0.05 0.05 0.05 0 0 0 0 0 0.09 0 0 0 0
"19522" "MKRN6P" "MKRN6P" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19523" "MKRN7P" "MKRN7P" 0 0 0.17 0 0 0 0 0 0 0 0 0 0 0
"19524" "MKRN8P" "MKRN8P" 0.06 0.11 0 0 0 0 0 0 0 0 0 0 0 0
"19525" "MKRN9P" "MKRN9P" 0 0 3.24 0 0 0 0 0 0 0 0 0 0 0
"19526" "MKS1" "MKS1" 7.65 7.49 11.9 10.79 10.39 6.19 8.18 6.54 5.68 6.34 7.64 6.44 5.98 5
"19527" "MKX" "MKX" 0.58 1.27 1.93 0.19 0.44 0.46 0.6 0.2 0.34 0.22 0.13 0.85 0.08 0.09
"19528" "MKX-AS1" "MKX-AS1" 0 0 0.54 0 0 0 0 0 0 0 0 0.37 0 0
"19529" "MLANA" "MLANA" 0.26 0.45 0.24 0.53 0.52 0.32 0.12 0.03 0.21 0.11 0.19 0.74 0.19 0.02
"19530" "MLC1" "MLC1" 0.02 0.16 0 0 0.17 0.07 0.29 0 0.08 0.04 0 0.05 0.09 0.04
"19531" "MLEC" "MLEC" 302.91 342.8 84.28 359.83 115.75 229.5 106.16 111.65 138.52 77.64 143.88 137.13 132.91 84.41
"19532" "MLECP1" "MLECP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19533" "MLF1" "MLF1" 3.04 14.9 23.24 2.48 13.44 1.59 11.07 6.13 5.95 4.42 5.68 7.11 4.27 3.8
"19534" "MLF1-DT" "MLF1-DT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19535" "MLF2" "MLF2" 67.94 99.15 81.06 55.28 87.53 90.22 165.05 72.16 55.96 51.64 61.96 75.88 60.59 71.63
"19536" "MLH1" "MLH1" 27.23 23.32 21.47 34.9 29.47 24.3 22.02 18.37 14.17 14.95 16.81 30.14 25.55 22.75
"19537" "MLH3" "MLH3" 9.04 7.59 9.56 8.51 5.15 13.46 4.74 6.61 7.76 9.38 5.73 7.31 4.85 4.61
"19538" "MLIP" "MLIP" 0 0 0 0 0 0 0.33 0.31 0.25 0.16 0.24 0.21 0.5 0.49
"19539" "MLIP-AS1" "MLIP-AS1" 0 0 0 0 0 0 0 0 0 0.25 0.04 0 0 0
"19540" "MLIP-IT1" "MLIP-IT1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19541" "MLKL" "MLKL" 9.96 19.14 19.16 20.67 31.78 32.81 19.63 9.38 10.36 9.09 9.76 18.89 12.6 10.63
"19542" "MLLT1" "MLLT1" 9.39 5.89 7 10.89 10.98 7.94 21.3 5.32 3.82 3.52 5.02 6.77 4.71 3.52
"19543" "MLLT10" "MLLT10" 18.81 14.8 21.69 16.67 20.51 18.02 16.04 8.12 10.35 11.18 9.97 19.83 10.83 3.58
"19544" "MLLT10P1" "MLLT10P1" 0 0 1.54 0 0 0 0 3.97 0 1.56 0 0 0 0
"19545" "MLLT10P2" "MLLT10P2" 0 0 0 0 0 0 0 0 0 0 1.89 0 0 0
"19546" "MLLT11" "MLLT11" 1.12 1.97 3.08 1.01 4.54 2.7 0.94 1.15 0.74 0.91 0.5 2.21 0.74 0.58
"19547" "MLLT3" "MLLT3" 25.11 13.24 37.47 25.5 28.39 13.58 12.31 35.81 26.52 22.7 18.06 26.55 21.01 19.56
"19548" "MLLT6" "MLLT6" 37.4 18.94 38.72 31.04 46.68 19.38 24.2 13.32 19.06 15.71 17.02 29.02 15.19 9.59
"19549" "MLN" "MLN" 0 1.86 0 0 0 0.41 0 0.17 0 0 0 0 12.06 0
"19550" "MLNR" "MLNR" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19551" "MLPH" "MLPH" 3.27 49.44 8 26.84 39.35 8.99 36.21 48.1 49.88 44.34 29.09 41.04 43.64 70.62
"19552" "MLST8" "MLST8" 11.67 14.73 14.66 16.45 19.03 19.9 37.69 11.7 7.6 9.09 11.28 16.85 10.03 12.43
"19553" "MLX" "MLX" 35.54 47.73 36.74 46.81 66.51 42.74 37.46 62.82 55.86 79.56 64.86 53.9 64.33 47.66
"19554" "MLXIP" "MLXIP" 44.97 18.09 21.93 34.99 15.74 15.2 28.78 18.32 13.5 30.36 29.65 30.77 23.47 13.86
"19555" "MLXIPL" "MLXIPL" 8.69 6.01 11.8 3.82 10.77 3.5 8.93 1.15 1.39 0.59 1.19 1.58 2.63 1.2
"19556" "MLXP1" "MLXP1" 1.7 0 0 0 0 0 0.46 0 0 0 0 0 0 0
"19557" "MLYCD" "MLYCD" 0.75 0.47 0.73 0.59 0.54 0.33 0.67 0.46 0.54 0.76 0.75 0.9 1.03 0.62
"19558" "MMAA" "MMAA" 4.75 5.19 6.3 9.35 6.13 7.67 2.85 6.07 5.72 5.3 5.18 7.8 6.06 7.1
"19559" "MMAB" "MMAB" 32.64 19.36 15.49 25.49 13.14 14.38 32.22 14.38 6.42 7.87 9.03 11.13 14.15 25.19
"19560" "MMACHC" "MMACHC" 2.59 3.96 3.78 4.76 1.61 2.65 2.6 3.09 2.25 1.13 3.67 3.65 3.58 1.51
"19561" "MMADHC" "MMADHC" 103.79 82.91 105.62 92.19 64.97 94.82 72.71 79.52 66.16 72.64 59.75 79.65 79.14 60.98
"19562" "MMADHC-DT" "MMADHC-DT" 0.85 0.55 0.87 0.64 0.48 0.17 0.15 0.54 0.25 1.04 0.69 1.05 0.72 0.39
"19563" "MMADHCP1" "MMADHCP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19564" "MMADHCP2" "MMADHCP2" 0.1 0 0.1 0 0.1 0 0.08 0.25 0 0.18 0 0 0.09 0
"19565" "MMD" "MMD" 12.7 11.78 14.13 12.37 16.19 13.39 8.64 7.9 4.87 4.73 6.39 12.65 6.69 4.2
"19566" "MMD2" "MMD2" 0 0 0.03 0 0 0 0 0 0 0 0 0.11 0 0
"19567" "MME" "MME" 9.83 3.04 7.75 8.69 93.24 11.85 5.35 1.37 1.29 2.2 0.17 2.59 1.32 0.83
"19568" "MME-AS1" "MME-AS1" 0 0 0 0 0.46 0 0 0 0 0 0 0 0 0
"19569" "MMEL1" "MMEL1" 0.62 0.21 3.97 2.06 2.32 0.2 2.3 1.55 1.2 1.75 2.17 2.49 0.94 3.02
"19570" "MMEL1-AS1" "MMEL1-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19571" "MMGT1" "MMGT1" 16.72 15.21 15.58 13.01 11.63 15.28 11.34 10.64 11.01 8.87 10.05 12.19 11.04 6.54
"19572" "MMP1" "MMP1" 51.33 257.84 18.63 123.11 1047.58 694.44 38.32 1.46 0.77 1.54 2.17 7.63 6.95 2.8
"19573" "MMP10" "MMP10" 10.12 8.15 0.39 11.68 12.99 12.49 5.92 0.24 0.18 0.07 0 1.25 0.41 0.25
"19574" "MMP11" "MMP11" 26.54 94.91 90.7 35.08 25.19 28.84 124.96 2.19 3.35 1.65 2.69 1.71 1.77 1.82
"19575" "MMP12" "MMP12" 119.09 67.4 19.86 42.65 148.9 222.21 42.55 5.39 5.03 6.93 2.67 81.49 35.12 26.22
"19576" "MMP13" "MMP13" 3.58 1.35 0.5 1.67 9.44 7.39 0.83 0.02 0.04 0.05 0 0.45 0.63 0.18
"19577" "MMP14" "MMP14" 59.34 140.98 105.74 88.29 147.53 105.7 193.63 24.19 22.13 20.11 20.73 35.55 21.54 18.39
"19578" "MMP15" "MMP15" 6.78 11.95 7.24 13.42 12.45 7.15 39.38 17.46 10.69 17.76 15.89 16.42 18.07 20.95
"19579" "MMP16" "MMP16" 0.26 0.31 0.49 0.12 0.56 0.2 0.2 0.09 0.17 0.08 0.03 0.2 0.05 0.01
"19580" "MMP17" "MMP17" 0 0.93 1.1 1.87 0.83 0.11 0.76 0.23 0.03 0.31 0.51 0.41 0.22 0.09
"19581" "MMP19" "MMP19" 3.94 8.67 6.91 5.91 23.97 9.44 5.91 4.9 3.53 3.44 4.48 7.28 2.15 4.24
"19582" "MMP2" "MMP2" 101.24 357.16 216.59 118.44 260.62 296.07 235.33 52.54 83.88 33.81 59.14 47.97 33.93 51.57
"19583" "MMP2-AS1" "MMP2-AS1" 0 0.11 0.12 0 0.12 0.23 0.05 0 0.18 0.16 0.05 0.49 0 0
"19584" "MMP20" "MMP20" 0 0 0 0.23 0.25 0 0.06 0 0 0 0 0 0 0
"19585" "MMP21" "MMP21" 0.1 0.47 0.3 0.1 0.78 0.23 0.23 0 0.26 0.43 0.26 0.4 0.13 0.08
"19586" "MMP23A" "MMP23A" 0 0.23 0 0.24 0.5 0.11 0 0.26 0 0.5 0.16 0.81 0 0
"19587" "MMP23B" "MMP23B" 0.49 0.05 1.58 1.05 0.29 0.66 8.46 0.3 0.96 1.58 0.21 0.33 0.46 0.83
"19588" "MMP24" "MMP24" 0.35 0.14 0.66 0.48 2.44 0.14 0.32 0.1 0.16 0.16 0.32 0.25 0.08 0.02
"19589" "MMP24OS" "MMP24OS" 14.36 11.64 24.57 8.71 28.55 3.16 39.7 24.96 13.61 25.18 16.58 17.89 18.4 23.51
"19590" "MMP25" "MMP25" 0.27 0.31 0.58 0.24 8.61 3.38 1.93 1.17 0.24 1.28 0.69 1.93 1.62 1.31
"19591" "MMP25-AS1" "MMP25-AS1" 1.11 1 2.54 0.64 4.24 3.18 2.38 1.79 0.79 1.64 1.2 2.31 2.41 0.75
"19592" "MMP26" "MMP26" 0 0.14 0 0 0 0 0 0 0 0 0 0 0 0
"19593" "MMP27" "MMP27" 0 0 0 0 0 0 0.06 0.1 0.17 0.21 0.07 0.1 0.07 0.03
"19594" "MMP28" "MMP28" 0.75 11.33 3.33 5.88 0.69 1.01 16.76 29.09 18.45 34.03 19.14 14.43 21.48 17.93
"19595" "MMP3" "MMP3" 76.37 134.28 14.36 100.73 392.17 367.35 27.02 0.57 0.11 0.29 0.21 6.19 1.41 2.3
"19596" "MMP7" "MMP7" 104.87 107.7 44.13 122.66 209.21 432.97 11.64 1.39 0.13 0 0 2 15.43 4.62
"19597" "MMP8" "MMP8" 0.15 0.22 0.29 0.11 5.49 0.57 0.11 0 0 0 0 0 0.02 0
"19598" "MMP9" "MMP9" 12.64 30.72 9.67 7.39 49.76 25.75 17.42 1.65 0.34 1.35 1.55 13.88 3.8 5.79
"19599" "MMRN1" "MMRN1" 0.26 1.69 13.44 1.3 1.16 1.45 3.63 2.51 9.9 4.16 2.76 8.2 2.66 1.94
"19600" "MMRN2" "MMRN2" 2.11 3.62 7.19 2.6 7.7 2.62 7.81 2.47 2.41 1.87 2.72 4 1.67 2.28
"19601" "MMS19" "MMS19" 19.69 17.3 25.76 34.04 25.55 22.72 25.03 17.09 18.5 16.3 19.04 19.89 24.93 15.54
"19602" "MMS22L" "MMS22L" 4.91 2.21 10.42 2.53 2.95 2.05 4.1 0.73 0.99 0.85 1.45 2.01 2.11 0.98
"19603" "MMUT" "MMUT" 16.88 12.86 14.82 20.46 11.2 6.9 15.41 16.97 17.64 17.56 19.22 16.61 17.32 9.52
"19604" "MN1" "MN1" 0.63 3.57 8.79 1.18 0.98 1.58 1.48 1.01 0.77 0.67 0.53 1.81 0.7 0.43
"19605" "MNAT1" "MNAT1" 17.22 12.18 19.21 8.48 18.16 18.89 10.86 10.32 3.9 4.65 4.29 6.87 8.45 7.12
"19606" "MND1" "MND1" 12.95 7.53 12.05 11.35 12.57 19.02 10.03 2.69 2.27 1.04 4.3 4.41 4.74 3.92
"19607" "MNDA" "MNDA" 2.41 4.22 7.46 2.39 106.03 52.34 4.95 4.18 4.06 1.93 1.41 12.78 7.39 7.12
"19608" "MNS1" "MNS1" 1.81 1.32 2.15 1.56 2.3 0.81 1.64 0.53 1.04 0.54 0.66 0.91 0.96 0.44
"19609" "MNT" "MNT" 4.51 6.86 5.7 4.05 7.65 4.71 10.4 2.45 2.25 2.84 3.03 3.14 3.27 1.99
"19610" "MNX1" "MNX1" 2.97 1.49 2.04 4.66 1.84 1.41 6.35 2.09 1.34 2.14 1.62 1.7 2.56 1.28
"19611" "MNX1-AS1" "MNX1-AS1" 1.62 0.91 1.61 1.59 1.75 2.2 1.26 1.39 0.43 0.65 0.5 0.44 1.08 0.45
"19612" "MNX1-AS2" "MNX1-AS2" 0 0 0.98 0.51 0 0 0 0 0 0.47 0.93 0 0.48 0
"19613" "MOAP1" "MOAP1" 16.68 11.93 22.97 12.13 8.71 10.27 7.98 11.56 12.93 12.82 12.37 14.09 11.08 7.75
"19614" "MOB1A" "MOB1A" 48.97 33.61 33.66 29.72 53.47 46.61 30.78 29.31 26.01 32.83 25.44 41.68 32.05 18.01
"19615" "MOB1AP1" "MOB1AP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19616" "MOB1AP2" "MOB1AP2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19617" "MOB1B" "MOB1B" 5.88 3.35 8.01 4.66 8.68 6.33 2.19 2.78 4.36 3.12 3.15 5.11 3.2 1.36
"19618" "MOB2" "MOB2" 22.83 18.48 49.59 20.77 19.83 15.33 25.35 30.14 20.97 24.09 22.75 27.08 20.73 31.95
"19619" "MOB3A" "MOB3A" 7.08 9.71 9.06 8.8 21.81 15.24 13.99 12.34 9.93 9.89 10.8 15.89 11.5 10.77
"19620" "MOB3B" "MOB3B" 5.83 4.69 3.54 6.08 6.18 7.03 5.52 9.59 9.07 14.55 12.12 13.02 14.31 6.93
"19621" "MOB3C" "MOB3C" 6.19 9.46 10.02 8.31 10.94 7.88 6.61 11.63 9.5 10.04 7.15 13.71 8.21 9.22
"19622" "MOB4" "MOB4" 32.29 17.33 27.2 17.62 23.22 24.95 15.83 17.87 16.46 20.65 15.65 23.89 16.46 11.23
"19623" "MOB4P1" "MOB4P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19624" "MOB4P2" "MOB4P2" 0 0 0.19 0.19 0 0 0 0 0 0 0 0 0 0
"19625" "MOBP" "MOBP" 0 0 0 0 0.19 0 0.05 0.17 0.22 0.23 0.59 0.32 0.04 0.43
"19626" "MOCOS" "MOCOS" 2.67 3.99 1.55 6.16 2.63 4.61 3.17 1.06 1.41 0.75 1.25 1.74 3.42 1.55
"19627" "MOCS1" "MOCS1" 2.13 2.17 4.64 2.39 4.73 1.13 4.05 3.65 5.26 5.32 10.09 3.95 2.78 1.49
"19628" "MOCS1P1" "MOCS1P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19629" "MOCS2" "MOCS2" 32.35 26.68 36.29 36.93 23.35 23.07 21.75 19.83 24.2 17.74 15.7 18.39 16.38 17.41
"19630" "MOCS2-DT" "MOCS2-DT" 1.94 1.76 2.01 1.76 1.24 1.71 1.52 1.2 1.3 0.72 1.42 1.26 0.68 1.29
"19631" "MOCS3" "MOCS3" 4.57 1.91 4.71 2.72 5.21 2.78 2.67 1.37 1.67 1.52 1.44 1.65 1.64 1.04
"19632" "MOG" "MOG" 0 0 0 0 0 0 0 0.14 0 0.4 0 0 0 0
"19633" "MOGAT1" "MOGAT1" 0.07 0.13 0 0 0.68 0 0.17 0 0 0 0.06 0 0.06 0
"19634" "MOGAT2" "MOGAT2" 15.24 26.4 12 4.54 1.07 0.07 16.35 65.61 52.59 91.32 47.84 48.68 79.58 25.57
"19635" "MOGAT3" "MOGAT3" 12.07 6.4 24.06 6.4 15.11 4.57 7.11 12.06 16.76 14.68 18.15 9.12 19.73 6.22
"19636" "MOGS" "MOGS" 35.53 24.41 24.32 18.19 26.86 22.01 42.78 23.82 19.05 17.81 19.11 24.94 19.51 23.21
"19637" "MOK" "MOK" 13.29 4.7 8.05 6.01 9.41 3.51 6.13 4.97 2.59 2.91 4.5 7.91 5.62 2.79
"19638" "MON1A" "MON1A" 4.19 4.65 4.06 6.21 3.14 4.23 14.6 2.17 1.56 1.62 2.61 3.77 1.77 2.91
"19639" "MON1B" "MON1B" 19.6 14.69 19.45 17.24 16.69 13.47 22 11.89 12.73 15.41 15.22 22 17.47 10.33
"19640" "MON2" "MON2" 15.33 12.06 15.56 10.56 13.34 8.7 7.74 8.86 12.97 16.74 13.26 18.26 13.75 5.04
"19641" "MORC1" "MORC1" 0 0 0 0 0 0 0 0 0 0.02 0 0 0.06 0
"19642" "MORC1-AS1" "MORC1-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19643" "MORC2" "MORC2" 26.61 13.43 25.71 12.98 19 16.3 14.97 11.11 6.29 7.41 9.23 11.1 9.38 7.59
"19644" "MORC2-AS1" "MORC2-AS1" 0.15 0.38 0.73 0.08 0.19 0.33 0.06 0.15 0.21 0.99 0.17 0.31 0.49 1.23
"19645" "MORC3" "MORC3" 12.99 10.14 15.68 12.03 22.68 10.92 10.46 8.37 12.46 11.48 11.59 16.08 11 4.55
"19646" "MORC4" "MORC4" 25.32 18.32 19.95 22.75 11.37 26.09 18.61 7.03 6.99 5.54 5.71 7.92 9.09 4.3
"19647" "MORF4" "MORF4" 0.08 0 0 0 0 0.42 0 0 0 0 0.23 0.16 0 0
"19648" "MORF4L1" "MORF4L1" 458.58 506.75 640.09 599.79 507.93 501.6 297.95 345.46 348.29 333.18 365.56 506.4 334.41 253.18
"19649" "MORF4L1P1" "MORF4L1P1" 0.1 0 0 0 0.17 0 0.01 0.08 0 0.09 0 0.05 0.1 0
"19650" "MORF4L1P3" "MORF4L1P3" 0 0 0 0 0 0 0 0 0 0 0 0.08 0 0
"19651" "MORF4L1P4" "MORF4L1P4" 0 0 0 0 0 0.08 0 0 0.08 0 0 0 0 0
"19652" "MORF4L1P5" "MORF4L1P5" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19653" "MORF4L1P6" "MORF4L1P6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19654" "MORF4L1P7" "MORF4L1P7" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19655" "MORF4L2" "MORF4L2" 344.87 261.52 336.46 216.33 233.23 331.43 188.76 118.61 163.16 108 128.36 182.45 145.36 86.93
"19656" "MORF4L2-AS1" "MORF4L2-AS1" 0.26 0.03 0.62 0.03 0.44 0.13 0.17 0.2 0.39 0.49 0.3 0.24 0.46 0.02
"19657" "MORF4L2P1" "MORF4L2P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19658" "MORN1" "MORN1" 2.61 1.51 2.18 1.33 1.15 2.12 4.62 1.34 1.18 1.39 2.28 1.65 2.39 0.97
"19659" "MORN2" "MORN2" 22.65 20.61 21.27 20.11 27.85 21.96 19.82 18.5 13.2 15.11 11.03 12.8 13.44 11.81
"19660" "MORN3" "MORN3" 0.1 0 1.52 0.07 0.78 0.08 0.2 0.13 0.23 0.08 0.09 0.13 0.13 0.33
"19661" "MORN4" "MORN4" 4.11 2.32 3.69 3.41 4.62 8.39 3.2 3.05 1.16 1.14 0.78 2.35 3.08 1.4
"19662" "MORN5" "MORN5" 0 0 6.67 0 0 0 0.25 0 0 0 0.49 11.91 0 0
"19663" "MOS" "MOS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19664" "MOSMO" "MOSMO" 8.43 6.85 6.67 5.67 9.84 6.8 5.43 3.56 3.99 6.5 4.8 5.83 4.63 1.61
"19665" "MOSPD1" "MOSPD1" 12.83 5.73 21.73 5.62 13.35 6.11 6.07 4.2 4.02 5.19 5.38 5.36 4.32 2.64
"19666" "MOSPD2" "MOSPD2" 10.57 4.06 13.12 4.69 30.91 9.67 5.68 3.2 6.43 6.94 4.69 9.52 7.43 1.66
"19667" "MOSPD3" "MOSPD3" 6.63 4.86 5.9 3.31 8.42 2.33 17.03 6.91 4.61 3.82 3.9 4.19 4.99 5.37
"19668" "MOV10" "MOV10" 35.18 12.09 33.74 25.61 23.84 21.78 27.53 20.88 15.63 27.51 20.65 33.12 28.1 22.17
"19669" "MOV10L1" "MOV10L1" 0.23 0.61 0.41 0.02 0.63 0.87 0.4 0.03 0.04 0.05 0 0.2 0 0.06
"19670" "MOXD1" "MOXD1" 7.84 8.13 10.76 2.08 7.3 3.65 5.59 2.19 2.87 0.89 2.79 4.41 1.31 1.68
"19671" "MOXD2P" "MOXD2P" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"19672" "MPC1" "MPC1" 45.09 59.36 31.5 66.83 32.27 29.04 113.15 93.81 97.25 85.5 94.07 90.61 93.87 85.25
"19673" "MPC1-DT" "MPC1-DT" 0 0.13 0.18 0 0.09 0.09 0.26 0 0.08 0.12 0 0.04 0 0
"19674" "MPC1L" "MPC1L" 0 0 0 0 0 0 0 0 0 0.13 0 0 0 0
"19675" "MPC2" "MPC2" 30.44 21.86 26.02 33.15 32.36 30.18 37.94 35.01 25.1 28.44 34.91 29.19 36.7 25.68
"19676" "MPDU1" "MPDU1" 54.68 86.96 64.79 109.75 32.85 57.54 72.97 94.92 97.62 93.19 93.42 107.24 102.73 137
"19677" "MPDZ" "MPDZ" 1.45 4.66 10.49 2.3 6.1 2.95 4.86 1.76 4.8 1.53 2.85 7.59 1.48 1.36
"19678" "MPEG1" "MPEG1" 6.68 12.62 19.18 9.36 21.93 17.75 19.89 24.14 31.24 26.68 28.28 59.2 37.66 19.43
"19679" "MPG" "MPG" 9.87 18.68 12.3 22 17.18 16.51 63.63 7.7 6.91 6.01 6.11 10.98 8.47 13.67
"19680" "MPHOSPH10" "MPHOSPH10" 27.33 16.29 31.72 18.89 29.89 32.44 16.09 16.83 14.88 9.41 10.89 17.17 9.86 8.43
"19681" "MPHOSPH10P1" "MPHOSPH10P1" 0.075 0.275 0.18 0.185 6.895 3.565 0.16 0.13 0.12 0.105 0.06 0.265 0.215 0.22
